subscription_id,idempotency_key,owner_student_id,plan_type,plan_name,classes_per_month,classes_remaining,amount_ils,billing_frequency,status,created_at,updated_at
139,user_subscription_details::139,1223,solo,Monthly,16,0,0.00,monthly,pending,2023-07-13 13:29:27+05:30,2023-09-07 20:12:27+05:30
140,user_subscription_details::140,1220,solo,Monthly,16,0,0.00,monthly,pending,2023-07-16 11:52:32+05:30,2023-09-20 08:28:06+05:30
141,user_subscription_details::141,1221,solo,Monthly,16,0,0.00,monthly,pending,2023-07-16 11:53:16+05:30,2023-09-20 08:25:17+05:30
142,user_subscription_details::142,1222,solo,Monthly,16,0,0.00,monthly,pending,2023-07-16 11:53:42+05:30,2023-09-20 08:26:44+05:30
143,user_subscription_details::143,1224,solo,Monthly,16,0,0.00,monthly,pending,2023-07-19 22:19:37+05:30,2023-08-19 00:00:04+05:30
144,user_subscription_details::144,1229,solo,Monthly,32,0,0.00,monthly,pending,2023-07-24 07:52:16+05:30,2023-09-03 07:46:11+05:30
145,user_subscription_details::145,1230,solo,Monthly,32,0,0.00,monthly,pending,2023-07-24 07:52:39+05:30,2023-09-12 00:00:02+05:30
148,user_subscription_details::148,1232,solo,Monthly,16,0,0.00,monthly,pending,2023-07-26 13:16:26+05:30,2024-05-01 07:51:27+05:30
149,user_subscription_details::149,1108,solo,Yearly,64,0,0.00,custom,pending,2023-07-28 13:24:34+05:30,2025-02-16 07:57:44+05:30
150,user_subscription_details::150,1241,solo,Monthly,32,0,0.00,monthly,pending,2023-07-29 13:04:49+05:30,2023-10-30 11:04:59+05:30
151,user_subscription_details::151,1240,solo,Monthly,32,0,0.00,monthly,pending,2023-07-29 13:05:13+05:30,2023-10-30 11:05:20+05:30
152,user_subscription_details::152,1173,solo,Quarterly,16,0,0.00,monthly,pending,2023-07-30 13:25:07+05:30,2023-10-30 00:00:05+05:30
153,user_subscription_details::153,1243,solo,Monthly,16,0,0.00,monthly,pending,2023-07-31 07:44:09+05:30,2024-03-01 12:02:44+05:30
155,user_subscription_details::155,1245,solo,Monthly,80,18,0.00,monthly,pending,2023-08-01 04:55:53+05:30,2024-05-29 00:00:05+05:30
156,user_subscription_details::156,1242,solo,Monthly,32,0,0.00,monthly,pending,2023-08-01 12:52:21+05:30,2024-01-17 16:04:48+05:30
157,user_subscription_details::157,1197,solo,Monthly,32,0,0.00,monthly,pending,2023-08-01 13:33:03+05:30,2023-11-06 16:16:12+05:30
158,user_subscription_details::158,1107,solo,Quarterly,32,0,0.00,monthly,pending,2023-08-02 10:43:08+05:30,2024-07-25 10:42:49+05:30
159,user_subscription_details::159,1191,solo,Monthly,16,0,0.00,monthly,pending,2023-08-03 09:16:56+05:30,2023-12-26 08:59:45+05:30
161,user_subscription_details::161,1257,solo,Monthly,80,0,0.00,monthly,pending,2023-08-13 11:04:31+05:30,2024-01-31 09:03:03+05:30
162,user_subscription_details::162,1204,solo,Monthly,32,0,0.00,monthly,pending,2023-08-13 18:43:40+05:30,2024-03-19 20:39:03+05:30
163,user_subscription_details::163,1223,solo,Monthly,16,0,0.00,monthly,pending,2023-08-16 17:05:49+05:30,2023-09-07 20:12:27+05:30
164,user_subscription_details::164,1243,solo,Yearly,64,0,0.00,monthly,pending,2023-08-20 11:26:00+05:30,2024-03-01 12:02:44+05:30
165,user_subscription_details::165,1222,solo,Monthly,16,0,0.00,monthly,pending,2023-08-20 11:35:05+05:30,2023-09-20 08:26:44+05:30
166,user_subscription_details::166,1221,solo,Monthly,16,0,0.00,monthly,pending,2023-08-20 11:35:21+05:30,2023-09-20 08:25:17+05:30
167,user_subscription_details::167,1220,solo,Monthly,16,0,0.00,monthly,pending,2023-08-20 11:35:38+05:30,2023-09-20 08:28:06+05:30
168,user_subscription_details::168,1264,solo,Yearly,32,0,0.00,monthly,pending,2023-08-20 12:16:25+05:30,2023-11-18 09:53:57+05:30
170,user_subscription_details::170,1275,solo,Yearly,48,0,0.00,monthly,pending,2023-08-27 13:45:44+05:30,2023-09-27 00:00:04+05:30
172,user_subscription_details::172,1278,solo,Yearly,48,0,0.00,monthly,pending,2023-08-28 10:59:23+05:30,2023-11-18 09:44:22+05:30
173,user_subscription_details::173,1280,solo,Yearly,16,0,0.00,monthly,pending,2023-08-28 19:10:36+05:30,2025-11-27 10:32:32+05:30
174,user_subscription_details::174,1281,solo,Monthly,16,0,0.00,monthly,pending,2023-08-29 05:49:20+05:30,2023-08-29 06:04:29+05:30
175,user_subscription_details::175,1281,solo,Monthly,16,1,0.00,monthly,pending,2023-08-29 06:04:29+05:30,2024-05-18 00:00:06+05:30
176,user_subscription_details::176,1240,solo,Monthly,16,0,0.00,monthly,pending,2023-08-30 12:06:08+05:30,2023-10-30 11:05:20+05:30
177,user_subscription_details::177,1241,solo,Monthly,16,0,0.00,monthly,pending,2023-08-30 12:06:47+05:30,2023-10-30 11:04:59+05:30
