teacher_id,avg_rating,total_classes_taught,verification_rate,avg_topics_per_class,student_retention_rate,total_earnings_ils,_etl_updated_at
7921,0.00,18,0.00,0.00,36.36,0.00,2026-03-18 17:19:35.733774+05:30
7922,0.00,18,0.00,0.00,30.77,0.00,2026-03-18 17:19:35.733774+05:30
7923,0.00,21,0.00,0.00,83.33,0.00,2026-03-18 17:19:35.733774+05:30
8044,0.00,5,0.00,0.00,66.67,0.00,2026-03-18 17:19:35.733774+05:30
8091,0.00,10,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8220,0.00,5,0.00,0.00,100.00,0.00,2026-03-18 17:19:35.733774+05:30
8272,0.00,43,0.00,0.00,68.75,0.00,2026-03-18 17:19:35.733774+05:30
8307,0.00,3,0.00,0.00,50.00,0.00,2026-03-18 17:19:35.733774+05:30
8367,0.00,6,0.00,0.00,66.67,0.00,2026-03-18 17:19:35.733774+05:30
8462,0.00,5,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8463,0.00,8,0.00,0.00,75.00,0.00,2026-03-18 17:19:35.733774+05:30
8464,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8467,0.00,1,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8504,0.00,6,0.00,0.00,50.00,0.00,2026-03-18 17:19:35.733774+05:30
8505,0.00,2,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8506,0.00,3,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8618,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8683,0.00,7,0.00,0.00,66.67,0.00,2026-03-18 17:19:35.733774+05:30
8684,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8685,0.00,2,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8701,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8702,0.00,1,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8732,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8752,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8789,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8793,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8853,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8854,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8857,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8961,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
9001,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
9002,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
9080,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
